Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,ID
Tyler Pitlick,C,63,8,12,11,12,76,759,42,132,5,13,pitlity01
Ryan Poehling,C,27,1,1,-4,4,26,279,10,38,3,12,poehlry01
Austin Poganski,RW,1,0,0,0,0,0,6,0,0,0,0,poganau01
Brayden Point,C,66,25,39,28,11,141,1248,30,24,397,380,pointbr01
Roman Polak,D,41,0,4,-6,24,34,683,94,104,0,0,polakro01
Tucker Poolman,D,57,4,12,-1,24,64,995,59,58,0,0,poolmtu01
Derrick Pouliot,D,2,0,0,-1,2,1,17,1,2,0,0,poulide01
Nikolai Prokhorkin,LW,43,4,10,-6,6,63,520,7,38,101,111,prokhni01
Dalton Prout,D,2,0,0,0,7,2,26,3,3,0,0,proutda01
Ivan Provorov,D,69,13,23,11,24,150,1714,111,84,0,0,provoiv01
Ryan Pulock,D,68,10,25,8,14,163,1524,139,110,0,0,pulocry01
Mark Pysyk,D,58,9,9,4,20,64,740,38,47,3,3,pysykma01
John Quenneville,C,9,0,0,-1,0,14,99,3,21,3,1,quennjo02
Alan Quine,C,9,1,0,-1,4,12,88,2,6,1,0,quineal01
Gage Quinney,F,3,0,1,-1,0,2,29,0,2,8,9,quinnga01
Lukas Radil,C,14,0,0,-3,8,12,132,2,16,1,3,radillu01
Alexander Radulov,RW,60,15,19,8,46,132,1005,42,48,4,10,radulal01
Michael Raffl,LW,58,8,12,-2,14,66,717,25,73,99,98,rafflmi01
Rickard Rakell,RW,65,15,27,-5,12,186,1180,29,81,10,3,rakelri01
Mikko Rantanen,RW,42,19,22,-2,14,107,796,23,28,44,31,rantami01
Victor Rask,C,43,5,8,7,6,38,451,8,26,120,152,raskvi01
Ryan Reaves,RW,71,8,7,-5,47,61,720,24,316,24,28,reavery01
Mike Reilly,D,44,1,15,-6,24,85,793,46,39,0,0,reillmi01
Sam Reinhart,C,69,22,28,-15,20,144,1423,27,36,40,72,reinhsa01
Anthony Richard,C,1,0,0,-1,0,2,4,0,0,0,0,richaan01
Brad Richardson,C,59,6,5,1,20,76,805,44,77,355,303,richabr02
Tobias Rieder,C,55,4,6,-12,6,77,610,26,30,11,42,riedeto01
Morgan Rielly,D,47,3,24,6,24,123,1137,67,38,0,1,riellmo01
Juuso Riikola,D,36,1,6,3,6,38,500,24,74,0,0,riikoju01
Zac Rinaldo,C,19,3,2,-1,34,19,157,8,69,0,0,rinalza01
Rasmus Ristolainen,D,69,6,27,-2,46,128,1573,82,203,0,0,ristora01
Brett Ritchie,RW,27,2,4,-3,21,34,281,3,89,2,3,ritchbr01
Nick Ritchie,LW,48,9,12,1,97,78,680,17,102,1,7,ritchni01
Jason Robertson,LW,3,0,1,0,0,4,37,0,1,0,0,roberja01
Buddy Robinson,RW,5,1,0,0,7,6,61,5,14,0,0,robinbu01
Eric Robinson,LW,50,7,5,10,12,69,548,15,79,4,7,robiner01
Evan Rodrigues,C,45,6,4,-8,14,75,508,15,24,121,136,rodriev01
Kevin Rooney,C,49,4,5,8,20,59,575,32,64,175,197,rooneke01
Calle Rosen,D,12,0,3,0,4,14,163,7,3,0,0,rosenca01
Jack Roslovic,C,71,12,17,4,12,117,1058,21,58,70,78,rosloja01
Antoine Roussel,LW,41,7,6,0,43,55,485,14,44,6,6,roussan01
Carter Rowney,RW,71,8,11,5,14,63,910,42,189,47,56,rowneca01
Matt Roy,D,70,4,14,16,10,112,1268,100,132,0,0,royma04
Nicolas Roy,C,28,5,5,3,8,42,320,7,39,93,100,royni01
German Rubtsov,C,4,0,0,-1,0,1,27,4,4,6,8,rubtsge01
Chad Ruhwedel,D,41,2,4,4,12,44,606,25,74,0,0,ruhwech01
Kris Russell,D,55,0,9,0,14,45,923,101,71,0,0,russekr01
Patrick Russell,RW,45,0,5,-11,12,58,511,25,64,2,2,russepa01
Bryan Rust,RW,55,27,29,14,30,151,1087,35,71,2,8,rustbr01
Jan Rutta,D,33,1,6,6,14,43,513,21,19,0,0,ruttaja02
Bobby Ryan,LW,24,5,3,3,22,43,324,13,41,3,2,ryanbo01
Derek Ryan,C,68,10,19,9,10,102,989,34,12,383,349,ryande01
Joakim Ryan,D,35,1,4,-10,10,54,670,46,24,0,0,ryanjo02
Brandon Saad,LW,58,21,12,2,16,140,971,19,36,23,35,saadbr01
Aleksi Saarela,C,9,2,2,2,0,15,110,3,1,7,11,saareal01
Scott Sabourin,F,35,2,4,-6,33,29,246,13,74,0,1,sabousc01
Miikka Salomaki,RW,5,1,0,2,4,2,61,3,9,0,0,salommi01
Rasmus Sandin,D,28,1,7,-7,10,22,401,22,33,0,0,sandira01
Zach Sanford,LW,58,16,14,13,28,90,797,32,109,1,8,sanfoza01
Travis Sanheim,D,69,8,17,4,32,110,1391,79,41,0,0,sanhetr01
Steven Santini,D,2,0,0,1,2,1,19,0,3,0,0,santist01
Ashton Sautner,D,1,0,0,0,0,1,3,0,0,0,0,sautnas01
David Savard,D,68,0,11,-3,35,97,1407,163,129,0,0,savarda01
Luca Sbisa,D,44,2,8,1,37,49,789,71,91,0,0,sbisalu01
Marco Scandella,D,62,4,9,14,20,77,1090,60,78,0,0,scandma01
Colton Sceviour,C,69,6,10,2,6,114,914,72,91,65,82,scevico01
