Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,id
Elias Pettersson,C,80,32,36,1,12,192,1488,43,49,238,302,petteel01
Marcus Pettersson,D,72,2,17,8,38,83,1127,74,122,0,0,pettema01
Michael Pezzetta,C,51,5,6,-7,81,49,400,8,156,6,5,pezzemi01
Isaak Phillips,D,4,0,0,-1,4,4,49,1,3,0,0,phillis01
Alex Pietrangelo,D,80,13,31,7,42,227,1972,164,66,0,0,pietral01
Garrett Pilon,C,2,1,0,1,0,1,19,0,2,8,10,pilonga01
Shane Pinto,C,5,0,1,0,2,5,65,1,0,17,35,pintosh01
Neal Pionk,D,77,3,31,5,46,140,1628,91,185,0,0,pionkne01
Rem Pitlick,C,66,15,22,-8,24,65,989,28,25,53,65,pitlire01
Tyler Pitlick,C,39,1,4,-11,6,36,427,26,70,4,6,pitlity01
Vasily Podkolzin,RW,79,14,12,7,26,115,1011,33,84,8,11,podkova01
Ryan Poehling,C,57,9,8,-21,6,91,695,28,40,227,262,poehlry01
Austin Poganski,RW,16,0,0,-3,7,9,149,5,23,0,0,poganau01
Brayden Point,C,66,28,30,-5,33,176,1284,27,75,366,351,pointbr01
Tucker Poolman,D,40,1,2,2,12,47,680,73,33,0,0,poolmtu01
Andrew Poturalski,C,2,0,2,-1,0,4,20,1,0,3,4,poturan01
Derrick Pouliot,D,11,0,4,6,4,8,171,14,10,0,0,poulide01
Owen Power,D,8,2,1,3,2,10,177,9,1,0,0,powerow01
Chase Priskie,D,4,0,0,2,2,4,56,3,3,0,0,priskch01
Aliaksei Protas,C,33,3,6,4,0,34,391,12,20,56,69,protaal01
Ivan Provorov,D,79,9,22,-20,34,170,1966,172,74,0,0,provoiv01
Ethan Prow,D,4,1,0,-1,0,2,51,3,2,0,0,prowet01
Jesse Puljujarvi,RW,65,14,22,22,20,160,1055,15,81,0,0,puljuje01
Ryan Pulock,D,56,5,16,0,2,122,1184,130,86,0,0,pulocry01
Valtteri Puustinen,RW,1,0,1,2,0,1,10,0,1,0,0,puustva01
Mark Pysyk,D,68,3,9,-4,16,64,1212,85,41,0,0,pysykma01
Jack Quinn,RW,2,1,1,0,0,6,30,1,0,0,0,quinnja01
Darren Raddysh,D,4,0,0,1,0,2,43,6,4,0,0,raddyda01
Taylor Raddysh,RW,74,11,11,1,10,104,913,21,103,6,10,raddyta01
Alexander Radulov,RW,71,4,18,-20,30,92,1001,48,43,10,12,radulal01
Michael Raffl,LW,76,7,9,-19,16,94,1105,34,141,14,12,rafflmi01
Rickard Rakell,RW,70,20,21,0,12,184,1259,44,99,36,43,rakelri01
Sampo Ranta,LW,10,0,0,-4,2,9,109,6,9,2,2,rantasa01
Mikko Rantanen,RW,75,36,56,35,56,254,1574,43,58,164,190,rantami01
Victor Rask,C,47,9,12,4,2,58,573,5,15,89,87,raskvi01
Adam Raska,RW,5,0,0,1,7,2,40,0,15,0,0,raskaad01
Michael Rasmussen,C,80,15,12,-25,66,128,1161,65,142,410,409,rasmumi01
Isaac Ratcliffe,LW,10,1,3,-1,10,14,107,8,16,0,1,ratclis01
Jack Rathbone,D,9,0,0,-5,2,10,124,8,5,0,0,rathbja01
