Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,ID
Garnet Hathaway,RW,56,6,12,7,66,62,690,30,179,10,14,hathaga01
Erik Haula,LW,51,9,12,4,14,85,816,23,63,270,220,haulaer01
Jayce Hawryluk,C,30,2,3,-7,9,18,289,11,43,1,1,hawryja01
John Hayden,C,29,2,3,-4,37,21,285,16,84,4,9,haydejo01
Kevin Hayes,RW,55,12,19,-2,22,127,964,14,60,234,244,hayeske01
Barrett Hayton,C,14,2,1,-1,0,10,161,3,15,40,40,haytoba01
Victor Hedman,D,54,9,36,5,28,136,1352,73,51,0,0,hedmavi01
Danton Heinen,C,43,7,7,-9,0,76,635,30,32,1,6,heineda01
Ville Heinola,D,5,0,0,-2,2,9,78,9,2,0,0,heinovi01
Miro Heiskanen,D,55,8,19,-9,12,121,1373,52,47,0,0,heiskmi01
Darren Helm,C,47,3,5,-3,10,83,690,20,39,6,3,helmda01
Adam Henrique,C,45,12,9,-8,11,77,722,32,40,303,244,henriad01
Aleksi Heponiemi,C,9,1,1,1,2,15,110,1,0,0,0,heponal01
Tomas Hertl,C,50,19,24,1,27,112,957,39,39,486,394,hertlto01
Thomas Hickey,D,5,0,2,5,0,2,81,3,10,0,0,hicketh01
Matthew Highmore,LW,42,3,4,-5,8,40,489,21,43,5,5,highmma01
Vinnie Hinostroza,C,26,4,8,0,8,33,319,3,37,3,17,hinosvi01
Roope Hintz,LW,41,15,28,13,4,92,748,15,52,231,238,hintzro01
Taro Hirose,LW,6,0,2,2,0,10,86,2,1,1,1,hirosta01
Nico Hischier,C,21,6,5,-9,4,44,389,20,11,203,158,hischni01
Niklas Hjalmarsson,D,41,0,5,-6,18,29,712,69,15,0,0,hjalmni01
Mike Hoffman,C,52,17,19,2,10,113,783,12,29,6,3,hoffmmi02
Nils Hoglander,LW,56,13,14,-4,16,118,865,19,26,1,1,hoglani01
Nick Holden,D,17,0,2,3,2,23,269,20,28,0,0,holdeni01
Justin Holl,D,55,2,18,16,25,57,1158,84,82,0,0,hollju01
Patric Hornqvist,RW,44,14,18,-3,39,145,738,23,80,2,12,hornqpa01
Bo Horvat,C,56,19,20,-6,23,131,1114,38,64,648,577,horvabo01
Brett Howden,C,42,1,6,-2,11,33,528,35,57,118,135,howdebr01
Filip Hronek,D,56,2,24,-18,16,114,1310,46,67,0,0,hronefi01
Jonathan Huberdeau,LW,55,20,41,12,36,122,1013,11,51,17,22,huberjo01
Cameron Hughes,C,1,0,0,-1,0,3,16,1,2,5,7,hugheca01
Jack Hughes,C,56,11,20,-3,16,142,1068,15,15,216,395,hugheja03
Quinn Hughes,D,56,3,38,-24,22,98,1277,43,18,0,0,hughequ01
Brad Hunt,D,12,1,0,-8,4,14,148,6,4,0,0,huntbr01
Dryden Hunt,LW,26,3,5,-6,4,39,311,5,94,4,9,huntdr01
Ben Hutton,D,38,1,4,-13,11,54,701,39,44,0,0,huttobe01
Zach Hyman,C,43,15,18,19,28,115,833,21,69,18,37,hymanza01
Alex Iafallo,C,55,13,17,-8,4,118,1094,39,26,2,5,iafalal01
Matt Irwin,D,24,0,2,-10,19,27,390,43,56,0,0,irwinma01
Mark Jankowski,C,45,4,7,4,6,35,482,21,35,151,172,jankoma01
Mattias Janmark,C,56,11,13,-12,10,95,957,14,26,21,44,janmama02
Calle Jarnkrok,C,49,13,15,13,14,91,823,15,30,41,54,jarnkca01
Christian Jaros,D,7,0,1,-4,2,3,78,8,9,0,0,jarosch01
Tanner Jeannot,F,15,5,2,6,2,23,182,7,53,1,2,jeannta01
Jan Jenik,RW,2,2,0,3,0,3,24,0,2,12,11,jenikja01
Boone Jenner,C,41,8,9,-9,6,79,738,53,76,301,245,jennebo01
Nick Jensen,D,53,2,12,5,14,60,917,65,56,0,0,jenseni02
Ryan Johansen,C,48,7,15,0,22,67,813,16,43,424,398,johanry01
Marcus Johansson,C,36,6,8,-10,4,46,574,12,12,32,53,johanma03
Erik Johnson,D,4,0,1,2,2,5,54,5,7,0,0,johnser01
Jack Johnson,D,13,1,0,-5,8,13,221,15,30,0,0,johnsja02
Luke Johnson,C,14,1,0,-5,5,11,141,4,29,44,43,johnslu01
Reese Johnson,F,5,0,0,-2,9,4,40,2,22,0,1,johnsre01
Tyler Johnson,C,55,8,14,-1,16,77,752,15,63,170,140,johnsty01
Andreas Johnsson,LW,50,5,6,-1,12,65,697,17,39,11,17,johnsan01
Ross Johnston,LW,12,0,1,-3,35,5,105,6,43,1,3,johnsro02
Henri Jokiharju,D,46,3,5,-11,4,50,846,53,47,0,0,jokihhe01
Caleb Jones,D,33,0,4,-7,6,23,449,35,27,0,0,jonesca01
Max Jones,LW,46,7,4,-9,36,77,652,11,100,5,5,jonesma03
Seth Jones,D,56,5,23,-18,26,141,1413,101,102,0,0,jonesse01
Zachary Jones,D,10,0,4,-2,2,12,150,8,8,0,0,jonesza01
Mathieu Joseph,RW,56,12,7,3,10,59,612,15,82,43,69,josepma01
Pierre-Olivier Joseph,D,16,1,4,1,6,27,269,7,22,0,0,joseppi01
Dakota Joshua,C,12,1,0,-3,7,9,108,2,23,37,27,joshuda01
Roman Josi,D,48,8,25,-11,20,141,1169,83,27,0,0,josiro01
Tyson Jost,C,54,7,10,14,24,92,763,19,45,162,184,jostty01
Olli Juolevi,D,23,2,1,-1,0,24,304,30,23,0,0,juoleol01
Tomas Jurco,RW,8,0,1,0,0,11,72,2,4,0,1,jurcoto01
Noah Juulsen,D,4,0,0,-3,0,5,48,4,9,0,0,juulsno01
Nazem Kadri,C,56,11,21,-7,34,170,922,19,36,392,351,kadrina01
Dominik Kahun,C,48,9,6,-3,2,69,615,12,13,16,14,kahundo01
Kaapo Kakko,RW,48,9,8,3,10,81,689,16,14,3,4,kakkoka01
Arthur Kaliyev,RW,1,1,0,-1,0,1,15,1,0,0,0,kaliyar01
Wyatt Kalynuk,D,21,4,5,-6,4,26,342,21,25,0,0,kalynwy01
David Kampf,C,56,1,11,-3,20,63,821,14,45,410,367,kampfda01
Steven Kampfer,D,20,2,3,3,4,28,334,24,20,0,0,kampfst01
Evander Kane,LW,56,22,27,-1,42,194,1131,22,97,23,34,kaneev01
Patrick Kane,RW,56,15,51,-7,14,191,1245,15,13,2,5,kanepa01
Kasperi Kapanen,RW,40,11,19,15,7,68,621,8,41,0,1,kapanka01
Kirill Kaprizov,LW,55,27,24,10,16,157,1006,18,29,3,21,kapriki01
Erik Karlsson,D,52,8,14,-18,18,110,1227,69,20,0,0,karlser01
William Karlsson,C,56,14,25,19,4,111,1045,29,29,518,441,karlswi01
David Kase,RW,1,0,0,0,0,0,11,1,0,0,0,kaseda01
Ondrej Kase,RW,3,0,0,0,0,4,26,1,1,0,0,kaseon01
Zack Kassian,RW,27,2,3,-4,15,18,320,3,73,0,2,kassiza01
Martin Kaut,RW,5,0,0,-1,4,2,40,1,6,0,0,kautma01
Joey Keane,D,1,0,0,-1,0,1,20,0,2,0,0,keanejo01
Brady Keeper,D,1,0,0,0,0,0,9,0,1,0,0,keepebr01
Duncan Keith,D,54,4,11,-13,30,110,1264,91,33,0,0,keithdu01
Clayton Keller,C,56,14,21,-5,18,124,933,14,20,19,22,kellecl01
Joel Kellman,F,7,1,1,-1,6,13,75,2,5,27,28,kellmjo01
Parker Kelly,F,1,1,0,1,0,1,8,0,4,1,0,kellypa01
Adrian Kempe,LW,56,14,15,-18,28,127,948,21,47,27,41,kempead01
Alexander Kerfoot,C,56,8,15,2,12,68,809,34,41,124,180,kerfoal01
Tanner Kero,RW,39,3,7,0,6,39,413,14,31,24,14,kerota01
Phil Kessel,RW,56,20,23,-17,12,115,957,9,8,1,3,kesseph01
Jujhar Khaira,LW,40,3,8,-1,42,41,482,21,151,171,207,khairju01
Matt Kiersted,D,7,0,0,-4,2,6,106,10,1,0,0,kiersma01
Alex Killorn,C,56,15,18,-1,37,121,1003,12,59,1,2,killoal01
Joel Kiviranta,F,26,6,5,3,6,31,317,11,40,1,6,kivirjo01
John Klingberg,D,53,7,29,-15,23,108,1203,52,49,0,0,klingjo01
Nikolai Knyzhov,D,56,2,8,-10,39,51,938,54,84,0,0,knyzhni01
Slater Koekkoek,D,18,1,0,-7,2,17,237,31,10,0,0,koekksl01
Mikko Koivu,C,7,1,1,-2,2,3,87,1,10,32,38,koivumi01
Keegan Kolesar,RW,44,3,10,-4,30,46,420,15,107,62,73,koleske01
Leo Komarov,C,33,1,7,7,15,27,423,11,83,26,41,komarle01
Travis Konecny,C,50,11,23,-5,26,100,795,16,55,6,12,konectr01
Anze Kopitar,C,56,13,37,-7,10,118,1186,37,45,661,493,kopitan01
Klim Kostin,C,2,0,1,-1,0,0,28,0,9,0,0,kostikl01
Jesperi Kotkaniemi,C,56,5,15,-1,12,87,829,27,84,263,286,kotkaje01
Vitali Kravtsov,RW,20,2,2,-6,4,23,248,6,7,0,2,kravtvi01
Peyton Krebs,C,4,0,1,1,0,1,46,1,4,6,3,krebspe01
Chris Kreider,LW,50,20,10,-1,34,102,870,35,115,30,45,kreidch01
David Krejci,C,51,8,36,16,16,83,874,26,25,321,271,krejcda01
Torey Krug,D,51,2,30,11,25,111,1150,57,51,0,0,krugto01
Dominik Kubalik,LW,56,17,21,-3,18,156,869,17,57,0,3,kubaldo01
Karson Kuhlman,C,20,2,0,-6,0,31,213,4,27,2,2,kuhlmka01
Dean Kukan,D,35,1,4,-3,10,29,497,38,36,0,0,kukande01
Brett Kulak,D,46,2,6,3,20,57,741,54,28,0,0,kulakbr01
Dmitry Kulikov,D,48,0,4,-3,28,51,920,49,93,0,0,kulikdm01
Luke Kunin,C,38,10,9,3,13,71,532,20,84,15,30,kuninlu01
Janne Kuokkanen,C,50,8,17,-11,14,61,739,19,10,1,8,kuokkja01
Rasmus Kupari,C,7,1,0,-5,2,8,80,3,7,35,30,kuparra01
Sean Kuraly,C,47,4,5,-10,20,88,661,21,99,229,170,kuralse01
Philipp Kurashev,C,54,8,8,-9,12,65,706,18,32,102,146,kurasph01
Evgeny Kuznetsov,C,41,9,20,7,18,78,679,18,21,204,289,kuzneev01
Oliver Kylington,D,8,0,1,-1,0,7,105,1,3,0,0,kylinol01
Jordan Kyrou,C,55,14,21,1,12,98,793,13,7,6,6,kyroujo01
Joel L'Esperance,RW,12,2,0,-2,2,8,113,0,16,7,10,lespejo01
Kevin Labanc,RW,55,12,16,-9,31,129,903,15,61,0,1,labanke01
Tanner Laczynski,C,5,0,0,1,0,6,50,1,5,11,16,laczyta01
Sam Lafferty,C,34,0,6,-6,25,33,332,11,89,55,50,laffesa01
Alexis Lafreniere,LW,56,12,9,-7,8,67,777,11,43,13,18,lafreal01
William Lagesson,D,19,0,2,0,9,11,269,14,15,0,0,lageswi01
Patrik Laine,RW,46,12,12,-28,25,82,803,15,36,6,19,lainepa01
Juho Lammikko,RW,44,4,1,-8,10,43,477,16,50,124,152,lammiju01
Gabriel Landeskog,LW,54,20,32,14,34,155,1078,28,81,288,221,landega01
Dylan Larkin,C,44,9,14,-14,34,134,898,17,38,361,369,larkidy01
Adam Larsson,D,56,4,6,2,24,52,1100,128,166,1,0,larssad01
Jacob Larsson,D,46,1,6,-9,14,42,800,59,37,0,0,larssja01
Johan Larsson,LW,52,8,6,-13,24,58,727,34,77,296,313,larssjo02
Scott Laughton,C,53,9,11,13,39,89,817,34,141,211,220,laughsc01
Jeremy Lauzon,D,41,1,7,8,40,48,767,53,98,0,0,lauzoje01
Curtis Lazar,C,50,7,6,-6,6,55,666,22,99,160,175,lazarcu01
Nick Leddy,D,56,2,29,-3,8,79,1209,54,58,0,0,leddyni01
Anders Lee,LW,27,12,7,11,12,80,473,13,39,63,65,leean01
Artturi Lehkonen,LW,47,7,6,-2,6,78,631,23,85,5,8,lehkoar01
Mikko Lehtonen,D,26,0,6,-2,8,33,413,15,30,0,0,lehtomi03
Josh Leivo,LW,38,6,3,-3,10,50,408,2,33,3,9,leivojo01
Brendan Lemieux,LW,49,4,7,-2,73,50,496,26,109,6,20,lemiebr01
John Leonard,LW,44,3,10,-7,2,59,495,17,25,0,1,leonajo01
Otto Leskinen,D,1,0,0,0,0,0,16,0,1,0,0,leskiot01
Kris Letang,D,55,7,38,19,32,132,1356,65,92,0,1,letankr01
Vinni Lettieri,C,5,0,0,-3,0,7,64,1,9,2,3,lettivi01
Tyler Lewington,D,2,0,1,4,9,4,28,4,1,0,0,lewinty01
Trevor Lewis,C,56,5,5,7,2,68,552,22,71,11,8,lewistr01
Timothy Liljegren,D,2,0,0,1,2,1,30,2,3,0,0,liljeti01
Kole Lind,RW,7,0,0,-4,0,4,92,3,8,0,0,lindko01
Oskar Lindblom,LW,50,8,6,-9,9,58,659,24,43,3,2,lindbos01
Esa Lindell,D,56,5,11,11,19,100,1298,104,114,0,0,lindees01
Ryan Lindgren,D,51,1,15,20,35,65,1020,50,98,0,0,lindgry01
Elias Lindholm,C,56,19,28,10,22,130,1114,34,53,509,482,lindhel01
Hampus Lindholm,D,18,2,4,-1,16,29,397,19,9,0,0,lindhha01
Par Lindholm,C,1,0,0,0,0,0,13,0,0,4,1,lindhpa01
Gustav Lindstrom,D,13,0,3,1,0,8,210,17,14,0,0,lindsgu01
Blake Lizotte,C,41,3,7,2,16,42,521,21,32,180,174,lizotbl01
William Lockwood,RW,2,0,0,-2,2,3,28,1,6,0,0,lockwwi01
Ryan Lomberg,LW,34,2,2,-2,67,47,330,10,90,0,1,lombery01
Steven Lorentz,C,45,2,6,1,8,40,470,16,47,158,151,lorenst01
Adam Lowry,LW,52,10,14,6,13,80,807,30,161,361,354,lowryad01
Milan Lucic,LW,56,10,13,-8,46,74,763,12,139,9,24,lucicmi01
Matt Luff,RW,13,1,0,-4,5,18,136,6,8,2,3,luffma01
Isac Lundestrom,C,41,6,3,-9,14,52,625,19,16,189,209,lundeis01
Eetu Luostarinen,C,44,3,5,-11,12,34,578,25,55,191,207,luostee01
Ilya Lyubushkin,D,42,1,1,-13,10,36,659,72,103,0,0,lyubuil01
Olli Maatta,D,41,0,4,-8,6,43,674,53,41,0,0,maattol01
Kurtis MacDermid,D,28,2,2,-14,36,16,374,35,46,0,0,macdeku01
Jacob MacDonald,D,33,1,8,14,8,49,493,31,38,0,0,macdoja02
Mackenzie MacEachern,LW,21,1,1,3,8,25,204,2,35,1,1,maceama01
Zack MacEwen,C,34,1,1,-2,44,31,294,9,65,4,4,macewza01
Ryan MacInnis,C,16,0,0,-3,0,14,160,3,19,28,31,macinry01
Connor Mackey,D,6,1,2,3,20,4,85,0,8,0,0,mackeco01
Nathan MacKinnon,C,48,20,45,22,37,206,977,15,38,239,254,mackina01
Josh Mahura,D,13,1,3,0,4,14,207,9,10,0,0,mahurjo01
Philippe Maillet,F,2,0,0,-1,0,1,18,0,1,6,6,maillph01
Cale Makar,D,44,8,36,17,12,104,1070,36,49,0,0,makarca01
Evgeni Malkin,C,33,8,20,-4,24,72,585,12,18,152,206,malkiev01
Sean Malone,C,1,0,1,-1,2,1,11,0,0,4,4,malonse01
Mikhail Maltsev,LW,33,6,3,-4,4,55,378,8,26,74,86,maltsmi01
Andrew Mangiapane,LW,56,18,14,1,24,91,933,33,51,2,15,mangian01
Josh Manson,D,23,1,6,-3,30,19,414,31,61,0,0,mansojo01
Anthony Mantha,RW,56,15,14,-14,25,138,1015,27,49,18,23,manthan01
Brad Marchand,LW,53,29,40,26,46,143,1002,11,66,11,24,marchbr03
Jonathan Marchessault,C,55,18,26,19,39,176,958,14,44,41,47,audymjo01
Mason Marchment,F,33,2,8,4,18,50,466,8,73,13,21,marchma01
John Marino,D,52,3,10,5,8,56,1078,50,48,0,0,marinjo01
Patrick Marleau,C,56,4,5,-9,10,54,744,19,40,141,159,marlepa01
Mitch Marner,RW,55,20,47,21,20,156,1233,41,23,4,1,marnemi01
Pat Maroon,LW,55,4,14,2,60,46,638,6,75,2,10,maroopa01
Matt Martin,LW,54,6,5,-2,36,68,598,23,181,3,9,martima02
Alec Martinez,D,53,9,23,26,12,85,1196,168,44,0,0,martial01
Jordan Martinook,LW,44,4,9,-3,25,62,561,20,90,78,88,martijo01
Mike Matheson,D,44,5,11,9,28,86,820,40,41,0,0,mathemi01
Stefan Matteau,LW,18,1,0,-4,9,15,195,9,35,2,5,mattest02
Auston Matthews,C,52,41,25,21,10,222,1121,47,57,450,417,matthau01
Scott Mayfield,D,56,2,13,2,38,79,1091,108,76,0,0,mayfisc01
Gerald Mayhew,F,4,0,1,1,0,5,47,4,7,0,1,mayhege01
Charlie McAvoy,D,51,5,25,22,38,92,1224,80,65,0,0,mcavoch01
Jake McCabe,D,13,1,2,2,9,15,249,15,22,0,0,mccabja01
Jared McCann,C,43,14,18,17,8,93,607,17,40,56,73,mccanja01
Michael McCarron,RW,6,0,0,1,16,3,62,0,12,18,24,mccarmi01
Max McCormick,LW,12,2,1,3,9,5,94,2,16,1,1,mccorma01
Connor McDavid,C,56,33,72,21,20,200,1241,24,61,316,322,mcdavco01
Ryan McDonagh,D,50,4,8,13,14,85,1095,96,69,0,0,mcdonry01
Brock McGinn,LW,37,8,5,0,6,58,554,12,44,3,11,mcginbr01
Greg McKegg,C,5,1,0,-3,2,4,48,1,7,20,13,mckeggr01
Michael McLeod,C,52,9,6,-12,42,60,718,20,89,326,307,mcleomi01
Ryan McLeod,C,10,0,1,-2,0,3,128,5,3,41,40,mcleory01
Connor McMichael,C,1,0,0,0,2,1,10,0,0,1,0,mcmicco01
Brayden McNabb,D,41,2,6,10,16,39,791,76,98,0,0,mcnabbr01
Jayson Megna,C,7,0,2,2,0,12,72,3,14,12,10,megnaja01
Timo Meier,RW,54,12,19,-7,22,155,867,24,75,8,20,meierti01
Nicolas Meloche,D,7,0,1,1,0,6,67,6,5,0,0,melocni01
Nicholas Merkley,RW,27,2,8,-5,7,38,311,5,28,2,6,merklni01
Dakota Mermis,D,3,0,0,0,0,2,49,4,10,0,0,mermida01
Jonathon Merrill,D,49,0,5,-9,16,41,895,70,34,0,0,merrijo01
Victor Mete,D,28,1,4,8,8,20,442,35,19,0,0,metevi01
Marc Michaelis,F,15,0,0,-5,2,3,136,10,12,3,2,michama01
Jacob Middleton,D,1,0,0,-2,2,1,9,1,2,0,0,middlja01
Keaton Middleton,D,3,0,0,-1,4,2,28,1,4,0,0,middlke01
Ilya Mikheyev,F,54,7,10,5,6,107,767,28,49,2,0,mikheil01
Niko Mikkola,D,30,1,2,-11,11,22,436,36,49,0,0,mikkoni01
Sonny Milano,LW,6,0,0,0,0,8,88,0,4,0,0,milanso01
Colin Miller,D,48,4,8,-20,27,64,864,51,91,0,0,milleco02
J.T. Miller,C,53,15,31,-7,43,106,1111,24,90,279,247,millejt01
K'Andre Miller,D,53,5,7,9,20,62,1119,77,93,0,0,milleka01
Kevan Miller,D,28,1,3,-1,20,27,534,37,64,0,0,milleke03
Ian Mitchell,D,39,3,4,-10,14,23,586,37,18,0,0,mitchia01
Casey Mittelstadt,C,41,10,12,-10,10,61,651,12,9,216,225,mitteca01
Sean Monahan,C,50,10,18,-6,10,98,885,18,49,340,354,monahse01
Brandon Montour,D,50,7,11,-5,40,94,1024,62,54,0,0,montobr01
John Moore,D,5,0,2,-3,2,8,105,6,9,0,0,moorejo01
Trevor Moore,LW,56,10,13,-5,18,88,814,10,38,3,6,mooretr01
Samuel Morin,D,20,1,0,-7,37,14,204,13,38,0,0,morinsa01
Josh Morrissey,D,56,4,17,-1,25,116,1319,86,78,0,0,morrijo04
Tyler Motte,C,24,6,3,0,14,40,384,28,100,12,21,mottety01
Connor Murphy,D,50,3,12,1,35,78,1107,123,102,0,0,murphco02
Brett Murray,LW,2,0,0,1,0,1,21,1,3,0,0,murrabr02
Ryan Murray,D,48,0,14,3,8,29,893,73,38,0,0,murrary01
Jake Muzzin,D,53,4,23,21,29,103,1144,94,101,0,0,muzzija01
Philippe Myers,D,44,1,10,-10,22,77,830,40,69,0,0,myersph01
Tyler Myers,D,55,6,15,-8,51,109,1214,74,61,0,0,myersty01
Vladislav Namestnikov,C,53,8,9,-5,24,87,858,35,71,135,210,namesvl01
Riley Nash,C,37,2,5,-1,4,40,466,21,33,162,164,nashri02
James Neal,LW,29,5,5,-2,11,51,351,6,26,2,5,nealja01
Martin Necas,C,53,14,27,25,10,114,916,32,45,36,42,necasma01
Brock Nelson,C,56,18,15,-5,14,121,999,26,36,349,358,nelsobr01
Patrik Nemeth,D,52,3,7,5,20,53,937,67,87,0,0,nemetpa01
Aaron Ness,D,1,0,0,0,0,1,13,0,2,0,0,nessaa01
Nikita Nesterov,D,38,0,4,-10,20,33,603,29,41,0,0,nesteni01
Alex Newhook,C,6,0,3,5,2,8,82,1,3,16,21,newhoal01
Valeri Nichushkin,RW,55,10,11,9,4,98,774,28,65,1,2,nichuva01
Nino Niederreiter,RW,56,20,14,20,29,126,880,17,68,1,6,niedeni01
Frans Nielsen,C,29,1,5,-3,0,24,352,12,23,21,19,nielsfr01
Matthew Nieto,LW,28,5,2,-5,4,45,392,19,25,4,3,nietoma01
Sami Niku,D,6,0,0,-3,8,2,78,7,0,0,0,nikusa01
Stefan Noesen,RW,6,0,0,0,2,5,58,0,4,1,3,noesest01
Joakim Nordstrom,C,44,1,6,1,6,46,508,30,92,5,10,nordsjo02
Joshua Norris,C,56,17,18,-12,13,96,922,34,72,379,345,norrijo01
Tomas Nosek,C,38,8,10,7,10,59,494,18,51,200,187,nosekto01
Ryan Nugent-Hopkins,C,52,16,19,-4,22,135,1080,29,26,73,87,nugenry01
Darnell Nurse,D,56,16,20,27,57,154,1435,100,117,0,0,nurseda01
Markus Nutivaara,D,30,0,10,1,12,45,479,13,35,0,0,nutivma01
Joakim Nygard,F,9,0,0,-2,4,6,82,0,4,1,0,nygarjo01
William Nylander,C,51,17,25,10,16,133,847,15,12,13,10,nylanwi01
Liam O'Brien,C,12,0,3,1,40,6,79,2,28,0,0,obrieli01
Drew O'Connor,F,10,0,1,-2,2,8,90,2,6,1,1,oconndr01
Logan O'Connor,RW,22,3,2,6,6,37,241,12,29,2,2,oconnlo01
Ryan O'Reilly,C,56,24,30,26,18,129,1162,26,24,703,493,oreilry01
Jordan Oesterle,D,43,1,10,-10,10,38,770,64,45,1,0,oestejo01
Kyle Okposo,RW,35,2,11,-1,0,45,486,14,29,26,22,okposky01
Jamie Oleksiak,D,56,6,8,-3,35,84,1147,88,148,0,0,oleksja01
Mathieu Olivier,F,30,3,2,-1,70,25,328,19,62,4,4,olivima01
Victor Olofsson,RW,56,13,19,-23,6,129,974,12,17,1,1,olofsvi01
Dmitry Orlov,D,51,8,14,16,20,83,1011,50,87,0,0,orlovdm01
T.J. Oshie,C,53,22,21,-3,18,106,957,27,70,139,151,oshietj01
Xavier Ouellet,D,6,0,0,-1,2,5,87,8,17,0,0,ouellxa01
Alex Ovechkin,LW,45,24,18,-7,12,182,878,23,98,0,2,ovechal01
Max Pacioretty,LW,48,24,27,20,14,174,861,29,33,20,23,pacioma01
Jean-Gabriel Pageau,C,54,14,14,10,10,81,907,58,111,472,361,pageaje01
Ondrej Palat,LW,55,15,31,1,26,111,960,43,82,0,6,palaton01
Kyle Palmieri,RW,51,10,11,-5,20,115,845,12,62,8,12,palmiky01
Artemi Panarin,LW,42,17,41,14,6,106,825,7,13,0,3,panarar01
Richard Panik,RW,48,4,9,-9,18,59,594,21,70,6,8,panikri01
Cedric Paquette,C,47,4,4,-12,21,33,439,26,136,33,42,paquece01
Colton Parayko,D,32,2,10,-2,14,60,683,64,35,0,0,parayco01
Zach Parise,LW,45,7,11,7,6,90,628,20,18,34,48,parisza01
Brinson Pasichnuk,D,4,0,0,-1,2,3,46,3,2,0,0,pasicbr01
David Pastrnak,RW,48,20,28,10,24,176,893,13,35,2,5,pastrda01
Greg Pateryn,D,13,0,3,0,6,13,184,17,17,0,0,patergr01
Nolan Patrick,C,52,4,5,-30,20,49,690,18,45,226,204,patrino01
Nick Paul,LW,56,5,15,5,19,105,901,35,74,219,201,paulni01
Joe Pavelski,C,56,25,26,22,16,139,1065,39,64,362,334,paveljo01
Tanner Pearson,LW,51,10,8,-15,26,110,871,28,54,6,10,pearsta01
Matthew Peca,C,5,0,1,1,0,3,44,3,9,0,5,pecama01
Lane Pederson,F,15,1,2,-2,2,15,166,2,39,39,39,pederla01
Andrew Peeke,D,11,0,3,-4,4,5,189,15,35,0,0,peekean01
Adam Pelech,D,56,4,10,15,18,82,1179,73,66,0,0,pelecad01
Mathieu Perreault,C,56,9,10,6,16,57,656,18,84,5,8,perrema01
David Perron,LW,56,19,39,6,22,151,1039,25,45,0,6,perroda01
Corey Perry,RW,49,9,12,-4,39,62,673,15,56,0,6,perryco01
Brett Pesce,D,55,4,21,14,20,89,1254,82,17,0,0,pescebr01
Nic Petan,C,7,0,1,-2,4,8,72,2,6,0,0,petanni01
Jeff Petry,D,55,12,30,6,20,128,1251,60,97,0,0,petryje01
Elias Pettersson,C,26,10,11,0,6,63,483,9,11,63,77,petteel01
Marcus Pettersson,D,47,2,7,8,22,46,775,39,51,0,0,pettema01
Matthew Phillips,F,1,0,0,0,0,2,14,0,0,0,0,phillma01
Alex Pietrangelo,D,41,7,16,20,16,126,1002,80,28,0,0,pietral01
Garrett Pilon,C,1,0,0,0,0,0,11,0,0,0,0,pilonga01
Brian Pinho,C,2,0,0,-2,0,3,16,1,1,8,6,pinhobr01
Shane Pinto,C,12,1,6,6,10,11,150,9,11,45,65,pintosh01
Neal Pionk,D,54,3,29,6,20,100,1187,74,137,0,0,pionkne01
Brandon Pirri,C,1,0,0,-2,0,2,11,0,0,0,1,pirribr01
Rem Pitlick,C,10,0,2,3,4,11,113,1,8,15,21,pitlire01
Tyler Pitlick,C,38,6,5,-1,16,56,622,41,81,6,9,pitlity01
Austin Poganski,RW,5,0,0,-1,0,0,38,2,8,0,0,poganau01
Brayden Point,C,56,23,25,2,11,131,1032,18,23,257,263,pointbr01
Tucker Poolman,D,39,0,1,-2,2,50,714,49,69,0,0,poolmtu01
Nate Prosser,D,6,1,1,-7,0,5,78,10,3,0,0,prossna01
Ivan Provorov,D,56,7,19,4,28,126,1400,106,56,0,0,provoiv01
Jesse Puljujarvi,RW,55,15,10,6,16,115,832,20,101,0,3,puljuje01
Ryan Pulock,D,56,2,15,15,8,121,1257,106,97,0,0,pulocry01
Mark Pysyk,D,36,3,1,6,20,51,422,16,36,0,0,pysykma01
Alexander Radulov,RW,11,4,8,9,6,25,196,5,4,1,1,radulal01
Brogan Rafferty,D,1,0,1,-1,0,1,14,1,1,0,0,raffebr01
Michael Raffl,LW,44,4,7,-4,33,50,583,28,71,32,28,rafflmi01
Rickard Rakell,RW,52,9,19,-14,12,144,927,16,65,5,10,rakelri01
Mikko Rantanen,RW,52,30,36,30,34,177,1036,20,26,32,32,rantami01
Victor Rask,C,54,10,13,1,2,53,780,10,21,218,262,raskvi01
Michael Rasmussen,C,40,3,9,-5,26,62,592,28,72,134,168,rasmumi01
Jack Rathbone,D,8,1,2,1,0,17,124,8,9,0,0,rathbja01
Kyle Rau,C,14,0,2,-1,9,15,134,15,23,0,0,rauky01
Ryan Reaves,RW,37,1,4,0,27,26,367,15,141,4,9,reavery01
Alec Regula,D,3,0,0,-1,0,1,37,3,3,0,0,regulal01
Mike Reilly,D,55,0,27,5,22,98,1060,43,70,0,0,reillmi01
Sam Reinhart,C,54,25,15,-28,10,130,1055,27,15,126,150,reinhsa01
Sheldon Rempal,RW,3,0,0,0,0,3,25,3,0,0,1,rempash01
Dan Renouf,D,18,0,3,-1,16,12,183,3,20,0,0,renouda01
Tarmo Reunanen,D,4,0,1,1,0,5,53,5,4,0,0,reunata01
Justin Richards,F,1,0,1,1,0,2,10,1,2,0,0,richaju01
Brad Richardson,C,17,1,3,0,4,18,208,9,14,76,72,richabr02
